MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,log-median-income,nearest_to_LA,nearest_to_SF,nearest_to_SD,nearest_to_SAC,nearest_to_city,Bedroom_Ratio
3.4706,20.0,5.274253731343284,1.0335820895522387,1822.0,3.3992537313432836,32.8,-117.17,1.4975226278055997,171.21604724982745,729.8047748958992,9.410605413553371,751.9738948960375,9.410605413553371,0.19596745666784576
4.3523,42.0,5.588652482269503,1.1099290780141844,697.0,2.471631205673759,34.1,-118.06,1.6775263750666303,17.7343795112344,566.4402925501525,175.08471537163103,585.5110968129449,17.7343795112344,0.19860406091370558
4.5042,9.0,7.129129129129129,1.117117117117117,884.0,2.6546546546546548,39.04,-121.07,1.7055114371801645,609.2905541863504,183.33465470150202,786.2728827213688,62.851375298761845,62.851375298761845,0.15669755686604883
2.9844,31.0,5.301020408163265,1.0476190476190477,1606.0,2.7312925170068025,38.73,-120.78,1.3823867362888735,567.4642555408504,178.2408128333804,744.1131875172229,64.19086946683932,64.19086946683932,0.1976259223612448
2.5388,15.0,3.8871733966745845,1.0629453681710215,1872.0,2.223277909738717,32.85,-116.93,1.2637876866270938,180.8957132815628,739.957853136411,26.263190664365666,758.6845079502756,26.263190664365666,0.2734494347693248
2.6629,37.0,5.009615384615385,0.9855769230769231,589.0,2.831730769230769,32.74,-117.07,1.2982551833967249,182.10102247566056,740.8916262622838,8.939841546162363,762.4422816112557,8.939841546162363,0.1967370441458733
5.8068,20.0,6.632098765432099,1.0222222222222221,1507.0,3.7209876543209877,37.34,-121.8,1.9179221125151444,486.5246953006634,72.93566844974285,665.2399897127399,140.63492198312122,72.93566844974285,0.15413253909158597
5.6263,39.0,5.689280868385346,1.033921302578019,1833.0,2.4871099050203527,37.97,-122.54,1.8910465790374953,582.1845626319366,24.138997873514302,760.8534629251169,113.82149006994575,24.138997873514302,0.18173145719055567
4.2414,49.0,4.857142857142857,0.984375,1040.0,2.3214285714285716,37.78,-122.49,1.6565886382204325,563.8193776706366,6.230756581650152,742.1871437147621,124.56806666016978,6.230756581650152,0.20266544117647062
3.3287,29.0,4.549295774647887,1.0704225352112675,1217.0,2.142605633802817,34.21,-118.23,1.4652672659891826,17.591810966090428,546.8563043393308,193.491667102466,567.049358386556,17.591810966090428,0.23529411764705882
4.6484,25.0,4.813211845102506,0.9612756264236902,1365.0,3.1093394077448746,36.98,-121.99,1.7313723192129598,469.97541784168743,96.18808919416468,647.115758873782,183.33764477366984,96.18808919416468,0.19971604353999053
